,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
0,7310.0,478.0,0.0,0.0,11600.0,12800.0,0.0,6100.0,2300.0,0.0,21400.0,21700.0,4430.0,25200.0
1,7380.0,263.0,0.0,0.0,6660.0,6720.0,0.0,2240.0,251.0,0.0,10100.0,9910.0,4060.0,13500.0
2,8300.0,1460.0,0.0,0.0,14300.0,12300.0,0.0,6330.0,302.0,0.0,17600.0,19400.0,5370.0,24800.0
3,4850.0,535.0,0.0,0.0,7500.0,7300.0,0.0,2710.0,366.0,0.0,10900.0,11500.0,1000.0,12500.0
4,6470.0,1670.0,0.0,0.0,11600.0,10300.0,0.0,7910.0,1460.0,0.0,18300.0,18100.0,8700.0,26300.0
5,17100.0,2270.0,0.0,0.0,22600.0,22000.0,0.0,11700.0,1350.0,0.0,36900.0,39100.0,13300.0,54100.0
6,7420.0,408.0,0.0,0.0,6680.0,6900.0,0.0,1390.0,480.0,0.0,8640.0,8680.0,1260.0,8980.0
7,7570.0,1720.0,0.0,0.0,11000.0,10400.0,0.0,6580.0,2270.0,0.0,21100.0,21300.0,4620.0,25500.0
8,7100.0,394.0,0.0,0.0,8540.0,9350.0,0.0,6860.0,1760.0,0.0,19500.0,19300.0,7840.0,26700.0
9,7100.0,403.0,0.0,0.0,6730.0,6890.0,0.0,1320.0,305.0,0.0,8700.0,8810.0,960.0,8170.0
10,5330.0,614.0,0.0,0.0,9890.0,8770.0,0.0,7260.0,253.0,0.0,17400.0,17900.0,3210.0,21400.0
11,8380.0,395.0,0.0,0.0,9860.0,8890.0,0.0,2180.0,463.0,0.0,11900.0,12000.0,819.0,13700.0
12,6770.0,819.0,0.0,0.0,6850.0,6820.0,0.0,1860.0,949.0,0.0,9510.0,9970.0,2980.0,12800.0
13,7620.0,491.0,0.0,0.0,7580.0,7530.0,0.0,1550.0,367.0,0.0,10400.0,10500.0,831.0,11700.0
14,7300.0,1590.0,0.0,0.0,8390.0,8730.0,0.0,10600.0,818.0,0.0,19000.0,20700.0,8260.0,28500.0
15,6300.0,265.0,0.0,6800.0,7260.0,7080.0,0.0,1180.0,264.0,0.0,8500.0,8540.0,309.0,9670.0
16,4720.0,1820.0,0.0,6800.0,8500.0,7910.0,0.0,9000.0,888.0,0.0,18500.0,19000.0,4940.0,23900.0
17,11100.0,2770.0,0.0,0.0,24700.0,20600.0,0.0,15400.0,780.0,0.0,36500.0,37500.0,6110.0,41900.0
18,3400.0,177.0,0.0,0.0,7180.0,7060.0,0.0,1460.0,531.0,0.0,8610.0,8980.0,1490.0,10500.0
19,6320.0,2040.0,0.0,0.0,12600.0,10600.0,0.0,5390.0,598.0,0.0,17600.0,19400.0,8370.0,28000.0
20,17500.0,2770.0,0.0,20300.0,21900.0,17000.0,0.0,19800.0,755.0,0.0,39900.0,36800.0,25600.0,57400.0
